,y,x
AT,47.5826596832,14.1261536441
FI,64.5108956709,26.2873456038
NL,52.2843809481,5.64276496882
BA,44.1704031678,17.7729093048
FR,46.6199565815,2.45545142457
NO,64.2324959128,14.0235004447
BE,50.6368123544,4.64156280931
GB,53.9842600948,-2.77593463514
PL,52.1264833141,19.3981691155
BG,42.7698107979,25.2210250558
GR,39.4735668708,22.5813042524
PT,39.6833268118,-7.97556977057
CH,46.7975662261,8.21266700023
HR,45.1551620995,16.4157931266
RO,45.8528138528,24.9726101789
CZ,49.7327675414,15.3137674763
HU,47.1635765873,19.3959526703
RS,44.2213105012,20.7892683713
DE,51.0889690521,10.3714716214
IE,53.1734663944,-8.14101830718
SE,62.8309948723,16.7423354425
DK,56.0781828766,9.89391057602
IT,42.7884181186,12.0775812704
SI,46.1159938766,14.8080366307
ES,40.388253262,-3.55915019847
LU,49.766616231,6.07166093199
SK,48.7078248389,19.4834543708
EE,58.6843806195,25.8290057655
LV,56.8537914825,24.8976213553
LT,55.326929588,23.8952012834
