,capital_cost,p_nom_extendable,p_min_pu,bus0,bus1,length
AT-CH,0.01,True,-1.0,AT,CH,455.177091484
AT-CZ,0.01,True,-1.0,AT,CZ,254.488642992
AT-HU,0.01,True,-1.0,AT,HU,399.482169132
AT-DE,0.01,True,-1.0,AT,DE,475.279519782
AT-IT,0.01,True,-1.0,AT,IT,556.690931514
AT-SI,0.01,True,-1.0,AT,SI,171.129672895
FI-SE,0.01,True,-1.0,FI,SE,505.83246668
FI-EE,0.01,True,-1.0,FI,EE,648.327891877
NL-NO,0.01,True,-1.0,NL,NO,1413.30252526
NL-BE,0.01,True,-1.0,NL,BE,195.8878197
NL-GB,0.01,True,-1.0,NL,GB,592.13953258
NL-DE,0.01,True,-1.0,NL,DE,351.955564602
BA-HR,0.01,True,-1.0,BA,HR,153.326482224
BA-RS,0.01,True,-1.0,BA,RS,240.524560515
FR-BE,0.01,True,-1.0,FR,BE,474.615168973
FR-GB,0.01,True,-1.0,FR,GB,898.628248634
FR-CH,0.01,True,-1.0,FR,CH,439.316740086
FR-DE,0.01,True,-1.0,FR,DE,762.383916009
FR-IT,0.01,True,-1.0,FR,IT,870.793853805
FR-ES,0.01,True,-1.0,FR,ES,845.286944639
NO-SE,0.01,True,-1.0,NO,SE,205.979708223
NO-DK,0.01,True,-1.0,NO,DK,934.58428386
GB-IE,0.01,True,-1.0,GB,IE,365.387294176
PL-CZ,0.01,True,-1.0,PL,CZ,390.764690832
PL-DE,0.01,True,-1.0,PL,DE,633.501854596
PL-SE,0.01,True,-1.0,PL,SE,1200.57121835
PL-SK,0.01,True,-1.0,PL,SK,380.185425993
PL-LT,0.01,True,-1.0,PL,LT,462.593074899
BG-GR,0.01,True,-1.0,BG,GR,428.001210175
BG-RO,0.01,True,-1.0,BG,RO,343.383095054
BG-RS,0.01,True,-1.0,BG,RS,392.1583304
GR-IT,0.01,True,-1.0,GR,IT,952.950650607
PT-ES,0.01,True,-1.0,PT,ES,384.033095884
CH-DE,0.01,True,-1.0,CH,DE,502.495645655
CH-IT,0.01,True,-1.0,CH,IT,539.982221505
HR-HU,0.01,True,-1.0,HR,HU,320.202492859
HR-RS,0.01,True,-1.0,HR,RS,360.940732044
HR-SI,0.01,True,-1.0,HR,SI,164.433264503
RO-HU,0.01,True,-1.0,RO,HU,450.860863982
RO-RS,0.01,True,-1.0,RO,RS,375.377123322
CZ-DE,0.01,True,-1.0,CZ,DE,381.209103319
CZ-SK,0.01,True,-1.0,CZ,SK,323.513534347
HU-RS,0.01,True,-1.0,HU,RS,344.583137848
HU-SK,0.01,True,-1.0,HU,SK,171.83622115
DE-SE,0.01,True,-1.0,DE,SE,1359.98879908
DE-DK,0.01,True,-1.0,DE,DK,555.666513618
DE-LU,0.01,True,-1.0,DE,LU,338.148112036
SE-DK,0.01,True,-1.0,SE,DK,843.682025722
SE-LT,0.01,True,-1.0,SE,LT,927.84028323
IT-SI,0.01,True,-1.0,IT,SI,428.745840255
EE-LV,0.01,True,-1.0,EE,LV,210.907839507
LV-LT,0.01,True,-1.0,LV,LT,180.803907912
