,capital_cost,p_nom_extendable,p_min_pu,p_nom_opt,bus0,bus1,length
AT-CH,0.01,True,-1.0,644.780712274,AT,CH,455.177091484
AT-CZ,0.01,True,-1.0,732.391895391,AT,CZ,254.488642992
AT-HU,0.01,True,-1.0,709.812787401,AT,HU,399.482169132
AT-DE,0.01,True,-1.0,8060.07780489,AT,DE,475.279519782
AT-IT,0.01,True,-1.0,861.37502869,AT,IT,556.690931514
AT-SI,0.01,True,-1.0,2474.58586816,AT,SI,171.129672895
FI-SE,0.01,True,-1.0,5348.36184529,FI,SE,505.83246668
FI-EE,0.01,True,-1.0,403.287140794,FI,EE,648.327891877
NL-NO,0.01,True,-1.0,1035.08457029,NL,NO,1413.30252526
NL-BE,0.01,True,-1.0,8546.02225101,NL,BE,195.8878197
NL-GB,0.01,True,-1.0,5821.3716703,NL,GB,592.13953258
NL-DE,0.01,True,-1.0,4911.20303028,NL,DE,351.955564602
BA-HR,0.01,True,-1.0,518.612617388,BA,HR,153.326482224
BA-RS,0.01,True,-1.0,207.894429094,BA,RS,240.524560515
FR-BE,0.01,True,-1.0,3312.05954883,FR,BE,474.615168973
FR-GB,0.01,True,-1.0,6010.6710957,FR,GB,898.628248634
FR-CH,0.01,True,-1.0,4086.32266999,FR,CH,439.316740086
FR-DE,0.01,True,-1.0,5475.718887,FR,DE,762.383916009
FR-IT,0.01,True,-1.0,3694.7281806,FR,IT,870.793853805
FR-ES,0.01,True,-1.0,3592.546901,FR,ES,845.286944639
NO-SE,0.01,True,-1.0,11018.1171869,NO,SE,205.979708223
NO-DK,0.01,True,-1.0,1112.45416226,NO,DK,934.58428386
GB-IE,0.01,True,-1.0,1395.93658573,GB,IE,365.387294176
PL-CZ,0.01,True,-1.0,1974.9636791,PL,CZ,390.764690832
PL-DE,0.01,True,-1.0,529.287847472,PL,DE,633.501854596
PL-SE,0.01,True,-1.0,3557.27453092,PL,SE,1200.57121835
PL-SK,0.01,True,-1.0,4401.67962132,PL,SK,380.185425993
PL-LT,0.01,True,-1.0,569.246665984,PL,LT,462.593074899
BG-GR,0.01,True,-1.0,1799.19129533,BG,GR,428.001210175
BG-RO,0.01,True,-1.0,871.59205564,BG,RO,343.383095054
BG-RS,0.01,True,-1.0,545.508174582,BG,RS,392.1583304
GR-IT,0.01,True,-1.0,457.935866178,GR,IT,952.950650607
PT-ES,0.01,True,-1.0,1393.60922934,PT,ES,384.033095884
CH-DE,0.01,True,-1.0,4324.04766131,CH,DE,502.495645655
CH-IT,0.01,True,-1.0,1747.19803449,CH,IT,539.982221505
HR-HU,0.01,True,-1.0,1.34129111138,HR,HU,320.202492859
HR-RS,0.01,True,-1.0,429.936066155,HR,RS,360.940732044
HR-SI,0.01,True,-1.0,1649.90160561,HR,SI,164.433264503
RO-HU,0.01,True,-1.0,919.56074206,RO,HU,450.860863982
RO-RS,0.01,True,-1.0,228.627773838,RO,RS,375.377123322
CZ-DE,0.01,True,-1.0,5584.84931438,CZ,DE,381.209103319
CZ-SK,0.01,True,-1.0,1242.96915261,CZ,SK,323.513534347
HU-RS,0.01,True,-1.0,746.510149886,HU,RS,344.583137848
HU-SK,0.01,True,-1.0,3135.53259637,HU,SK,171.83622115
DE-SE,0.01,True,-1.0,0.00623638433974,DE,SE,1359.98879908
DE-DK,0.01,True,-1.0,5571.93628962,DE,DK,555.666513618
DE-LU,0.01,True,-1.0,513.000940676,DE,LU,338.148112036
SE-DK,0.01,True,-1.0,1679.13952017,SE,DK,843.682025722
SE-LT,0.01,True,-1.0,710.470288379,SE,LT,927.84028323
IT-SI,0.01,True,-1.0,282.383851578,IT,SI,428.745840255
EE-LV,0.01,True,-1.0,385.292451727,EE,LV,210.907839507
LV-LT,0.01,True,-1.0,494.72832439,LV,LT,180.803907912
