,capital_cost,p_nom_extendable,p_min_pu,p_nom_opt,bus0,bus1,length
AT-CH,0.01,True,-1.0,754.67335103,AT,CH,455.177091484
AT-CZ,0.01,True,-1.0,1173.09523383,AT,CZ,254.488642992
AT-HU,0.01,True,-1.0,2241.1656909,AT,HU,399.482169132
AT-DE,0.01,True,-1.0,15777.9998137,AT,DE,475.279519782
AT-IT,0.01,True,-1.0,3814.20153609,AT,IT,556.690931514
AT-SI,0.01,True,-1.0,5161.36008428,AT,SI,171.129672895
FI-SE,0.01,True,-1.0,5803.22051167,FI,SE,505.83246668
FI-EE,0.01,True,-1.0,1078.53811456,FI,EE,648.327891877
NL-NO,0.01,True,-1.0,6127.54860976,NL,NO,1413.30252526
NL-BE,0.01,True,-1.0,10703.3386898,NL,BE,195.8878197
NL-GB,0.01,True,-1.0,8978.14576315,NL,GB,592.13953258
NL-DE,0.01,True,-1.0,8604.23500299,NL,DE,351.955564602
BA-HR,0.01,True,-1.0,1089.51957093,BA,HR,153.326482224
BA-RS,0.01,True,-1.0,276.19840268,BA,RS,240.524560515
FR-BE,0.01,True,-1.0,4207.40696877,FR,BE,474.615168973
FR-GB,0.01,True,-1.0,10881.3750312,FR,GB,898.628248634
FR-CH,0.01,True,-1.0,3923.20638078,FR,CH,439.316740086
FR-DE,0.01,True,-1.0,9532.44173227,FR,DE,762.383916009
FR-IT,0.01,True,-1.0,6063.67346539,FR,IT,870.793853805
FR-ES,0.01,True,-1.0,8875.03581109,FR,ES,845.286944639
NO-SE,0.01,True,-1.0,14195.0251721,NO,SE,205.979708223
NO-DK,0.01,True,-1.0,3601.10348157,NO,DK,934.58428386
GB-IE,0.01,True,-1.0,2868.58276174,GB,IE,365.387294176
PL-CZ,0.01,True,-1.0,2160.23667727,PL,CZ,390.764690832
PL-DE,0.01,True,-1.0,1542.44712085,PL,DE,633.501854596
PL-SE,0.01,True,-1.0,7072.95322203,PL,SE,1200.57121835
PL-SK,0.01,True,-1.0,7170.95514144,PL,SK,380.185425993
PL-LT,0.01,True,-1.0,1830.89311763,PL,LT,462.593074899
BG-GR,0.01,True,-1.0,5382.24276666,BG,GR,428.001210175
BG-RO,0.01,True,-1.0,973.843462252,BG,RO,343.383095054
BG-RS,0.01,True,-1.0,1819.03043695,BG,RS,392.1583304
GR-IT,0.01,True,-1.0,1548.49027839,GR,IT,952.950650607
PT-ES,0.01,True,-1.0,2502.9812315,PT,ES,384.033095884
CH-DE,0.01,True,-1.0,8776.2439169,CH,DE,502.495645655
CH-IT,0.01,True,-1.0,5060.84850535,CH,IT,539.982221505
HR-HU,0.01,True,-1.0,0.0737927125424,HR,HU,320.202492859
HR-RS,0.01,True,-1.0,1343.06952267,HR,RS,360.940732044
HR-SI,0.01,True,-1.0,3876.51446967,HR,SI,164.433264503
RO-HU,0.01,True,-1.0,2284.36764745,RO,HU,450.860863982
RO-RS,0.01,True,-1.0,0.0127441073758,RO,RS,375.377123322
CZ-DE,0.01,True,-1.0,8590.88155972,CZ,DE,381.209103319
CZ-SK,0.01,True,-1.0,1735.92054662,CZ,SK,323.513534347
HU-RS,0.01,True,-1.0,1872.21969011,HU,RS,344.583137848
HU-SK,0.01,True,-1.0,5828.8594691,HU,SK,171.83622115
DE-SE,0.01,True,-1.0,0.0325463497346,DE,SE,1359.98879908
DE-DK,0.01,True,-1.0,18469.9662923,DE,DK,555.666513618
DE-LU,0.01,True,-1.0,837.412623877,DE,LU,338.148112036
SE-DK,0.01,True,-1.0,3371.38347734,SE,DK,843.682025722
SE-LT,0.01,True,-1.0,590.43907849,SE,LT,927.84028323
IT-SI,0.01,True,-1.0,246.842938963,IT,SI,428.745840255
EE-LV,0.01,True,-1.0,1289.17292199,EE,LV,210.907839507
LV-LT,0.01,True,-1.0,1840.89666935,LV,LT,180.803907912
