name,AT,FI,NL,BA,FR,NO,BE,GB,PL,BG,GR,PT,CH,HR,RO,CZ,HU,RS,DE,IE,SE,DK,IT,SI,ES,LU,SK,EE,LV,LT
2011-01-01 00:00:00,6938.0,10496.0,10684.0,1473.0,68546.0,16180.0,9964.0,34849.0,13766.0,4677.0,4903.0,5328.0,6643.0,1962.0,6132.0,6704.0,4070.0,6105.0,46209.0,3061.0,17565.0,3683.0,26553.0,1146.0,22895.0,497.0,3168.0,923.0,655.0,1039.0
2011-01-01 01:00:00,6575.0,10276.0,10117.0,1407.0,66091.0,15959.0,9456.0,34187.0,13049.0,4487.0,4579.0,5107.0,6730.0,1949.0,5912.0,6693.0,3746.0,5758.0,44236.0,2812.0,17148.0,3525.0,25079.0,1093.0,21429.0,473.0,3035.0,890.0,641.0,992.0
2011-01-01 02:00:00,6234.0,10174.0,9558.0,1342.0,62823.0,15815.0,8917.0,32368.0,12559.0,4151.0,4305.0,4776.0,6667.0,1856.0,5875.0,6563.0,3533.0,5439.0,42502.0,2593.0,16765.0,3383.0,23746.0,1045.0,20425.0,457.0,2967.0,872.0,613.0,957.0
2011-01-01 03:00:00,6126.0,10171.0,9204.0,1299.0,60649.0,15548.0,8587.0,30488.0,12281.0,4132.0,4160.0,4456.0,6356.0,1790.0,5743.0,6474.0,3430.0,5179.0,41479.0,2413.0,16527.0,3287.0,22950.0,1020.0,19996.0,445.0,2949.0,869.0,619.0,950.0
2011-01-01 04:00:00,6141.0,10207.0,9120.0,1277.0,59922.0,15570.0,8445.0,28446.0,12173.0,4099.0,4153.0,4291.0,6252.0,1785.0,5618.0,6264.0,3449.0,5019.0,39923.0,2284.0,16437.0,3268.0,22792.0,1026.0,19901.0,438.0,2923.0,874.0,640.0,960.0
2011-01-01 05:00:00,6065.0,10102.0,9255.0,1303.0,59350.0,15738.0,8381.0,27376.0,12155.0,3971.0,4118.0,4199.0,6001.0,1818.0,5514.0,6170.0,3505.0,4922.0,37054.0,2210.0,16476.0,3354.0,23328.0,1059.0,20015.0,415.0,2925.0,886.0,655.0,975.0
2011-01-01 06:00:00,6353.0,10288.0,9492.0,1318.0,59619.0,15860.0,8208.0,27171.0,12100.0,4013.0,4213.0,4177.0,5733.0,1800.0,5400.0,6113.0,3523.0,4918.0,37075.0,2201.0,16719.0,3451.0,23572.0,1099.0,19671.0,427.0,2881.0,901.0,664.0,970.0
2011-01-01 07:00:00,6738.0,10288.0,9842.0,1428.0,59544.0,15995.0,8245.0,26781.0,12056.0,4160.0,4652.0,3982.0,5549.0,1891.0,5445.0,5991.0,3643.0,5194.0,37694.0,2200.0,16993.0,3499.0,23739.0,1154.0,19956.0,432.0,2941.0,915.0,673.0,1003.0
2011-01-01 08:00:00,7200.0,10321.0,10276.0,1552.0,61378.0,16237.0,8570.0,27420.0,12510.0,4298.0,5185.0,3954.0,5752.0,1953.0,5460.0,6410.0,3843.0,5517.0,40026.0,2100.0,17182.0,3567.0,25316.0,1232.0,21485.0,436.0,3097.0,951.0,698.0,1066.0
2011-01-01 09:00:00,7605.0,10563.0,11042.0,1639.0,63439.0,16702.0,9030.0,30366.0,13008.0,4508.0,5627.0,4281.0,5940.0,2093.0,5432.0,6740.0,4007.0,5745.0,42757.0,2282.0,17363.0,3780.0,26958.0,1265.0,22895.0,456.0,3169.0,977.0,713.0,1109.0
2011-01-01 10:00:00,7682.0,10738.0,11654.0,1674.0,65411.0,16873.0,9445.0,33547.0,13415.0,4538.0,5739.0,4721.0,5758.0,2165.0,5424.0,6737.0,4110.0,5879.0,45760.0,2591.0,17761.0,3876.0,28333.0,1175.0,23605.0,480.0,3245.0,988.0,721.0,1125.0
2011-01-01 11:00:00,7489.0,10774.0,11864.0,1654.0,68526.0,17173.0,9729.0,36273.0,13813.0,4499.0,5427.0,5090.0,6095.0,2148.0,5419.0,6923.0,4149.0,5917.0,46897.0,2878.0,18202.0,3914.0,28586.0,1154.0,24428.0,492.0,3217.0,986.0,756.0,1132.0
2011-01-01 12:00:00,7421.0,10997.0,11894.0,1673.0,66025.0,17301.0,9797.0,37894.0,14266.0,4382.0,4835.0,5198.0,6382.0,2054.0,5411.0,7048.0,4079.0,5826.0,46277.0,3126.0,18305.0,3867.0,27245.0,1113.0,24698.0,484.0,3171.0,996.0,742.0,1135.0
2011-01-01 13:00:00,7397.0,11337.0,11814.0,1662.0,64070.0,17209.0,9700.0,38171.0,14427.0,4278.0,4749.0,4918.0,6453.0,1996.0,5440.0,7210.0,4089.0,5703.0,45775.0,3168.0,18398.0,3875.0,26290.0,1254.0,23667.0,475.0,3132.0,1025.0,778.0,1141.0
2011-01-01 14:00:00,7470.0,11791.0,11676.0,1656.0,63134.0,17357.0,9565.0,38311.0,14608.0,4266.0,5037.0,4810.0,6455.0,1988.0,5635.0,7261.0,4154.0,5798.0,45682.0,3105.0,18652.0,3986.0,26459.0,1249.0,23375.0,474.0,3181.0,1109.0,872.0,1234.0
2011-01-01 15:00:00,8102.0,11916.0,11999.0,1758.0,63760.0,17708.0,9550.0,38877.0,16039.0,4451.0,5475.0,4798.0,6657.0,2134.0,6339.0,7408.0,4501.0,6194.0,47270.0,3101.0,19310.0,4431.0,27839.0,1142.0,24077.0,480.0,3367.0,1117.0,920.0,1327.0
