,control,y,x,generator
AT,Slack,47.5826596832,14.1261536441,AT onwind
FI,Slack,64.5108956709,26.2873456038,FI0 onwind
NL,Slack,52.2843809481,5.64276496882,NL onwind
BA,Slack,44.1704031678,17.7729093048,BA onwind
FR,Slack,46.6199565815,2.45545142457,FR0 onwind
NO,Slack,64.2324959128,14.0235004447,NO0 onwind
BE,Slack,50.6368123544,4.64156280931,BE onwind
GB,Slack,53.9842600948,-2.77593463514,GB0 onwind
PL,Slack,52.1264833141,19.3981691155,PL0 onwind
BG,Slack,42.7698107979,25.2210250558,BG onwind
GR,Slack,39.4735668708,22.5813042524,GR onwind
PT,Slack,39.6833268118,-7.97556977057,PT onwind
CH,Slack,46.7975662261,8.21266700023,CH onwind
HR,Slack,45.1551620995,16.4157931266,HR onwind
RO,Slack,45.8528138528,24.9726101789,RO0 onwind
CZ,Slack,49.7327675414,15.3137674763,CZ onwind
HU,Slack,47.1635765873,19.3959526703,HU onwind
RS,Slack,44.2213105012,20.7892683713,RS onwind
DE,Slack,51.0889690521,10.3714716214,DE0 onwind
IE,Slack,53.1734663944,-8.14101830718,IE onwind
SE,Slack,62.8309948723,16.7423354425,SE0 onwind
DK,Slack,56.0781828766,9.89391057602,DK onwind
IT,Slack,42.7884181186,12.0775812704,IT0 onwind
SI,Slack,46.1159938766,14.8080366307,SI onwind
ES,Slack,40.388253262,-3.55915019847,ES0 onwind
LU,Slack,49.766616231,6.07166093199,LU onwind
SK,Slack,48.7078248389,19.4834543708,SK onwind
EE,Slack,58.6843806195,25.8290057655,EE onwind
LV,Slack,56.8537914825,24.8976213553,LV onwind
LT,Slack,55.326929588,23.8952012834,LT onwind
