,bus,control,capital_cost,p_nom_extendable,dispatch,p_nom,p_nom_opt,p_nom_max,efficiency,carrier,marginal_cost
AT onwind,AT,Slack,136428.031355,True,variable,0.0,0.00936564500128,52477.1679084,1.0,onwind,0.015
AT solar,AT,PQ,76486.3103324,True,variable,0.0,36938.9568421,53356.2826808,1.0,solar,0.01
AT OCGT,AT,PQ,47234.5614044,True,flexible,0.0,7352.25644068,inf,0.39,OCGT,58.3846153846
AT ror,AT,PQ,0.0,False,variable,7827.87477323,7827.87477323,inf,1.0,ror,0.0
FI0 onwind,FI,Slack,136428.031355,True,variable,0.0,0.050833792531,45616.9297919,1.0,onwind,0.015
FI1 onwind,FI,PQ,136428.031355,True,variable,0.0,0.0218334354759,104388.176696,1.0,onwind,0.015
FI2 onwind,FI,PQ,136428.031355,True,variable,0.0,20091.6778633,105217.778265,1.0,onwind,0.015
FI offwind,FI,PQ,295041.156155,True,variable,0.0,0.0056574639877,69842.970039,1.0,offwind,0.02
FI solar,FI,PQ,76486.3103324,True,variable,0.0,0.0100551584383,30104.4651954,1.0,solar,0.01
FI OCGT,FI,PQ,47234.5614044,True,flexible,0.0,4472.24673985,inf,0.39,OCGT,58.3846153846
FI ror,FI,PQ,0.0,False,variable,2560.0,2560.0,inf,1.0,ror,0.0
NL onwind,NL,Slack,136428.031355,True,variable,0.0,27852.9189325,27852.9534683,1.0,onwind,0.015
NL offwind,NL,PQ,295041.156155,True,variable,0.0,0.033410227297,97134.7568533,1.0,offwind,0.02
NL solar,NL,PQ,76486.3103324,True,variable,0.0,0.0207955553314,39776.984225,1.0,solar,0.01
NL OCGT,NL,PQ,47234.5614044,True,flexible,0.0,6411.68420249,inf,0.39,OCGT,58.3846153846
NL ror,NL,PQ,0.0,False,variable,40.0,40.0,inf,1.0,ror,0.0
BA onwind,BA,Slack,136428.031355,True,variable,0.0,0.00835773079231,50921.7184467,1.0,onwind,0.015
BA solar,BA,PQ,76486.3103324,True,variable,0.0,4439.11763858,25036.080691,1.0,solar,0.01
BA OCGT,BA,PQ,47234.5614044,True,flexible,0.0,0.550202215043,inf,0.39,OCGT,58.3846153846
BA ror,BA,PQ,0.0,False,variable,820.0,820.0,inf,1.0,ror,0.0
FR0 onwind,FR,Slack,136428.031355,True,variable,0.0,0.00820291464793,43569.1218573,1.0,onwind,0.015
FR1 onwind,FR,PQ,136428.031355,True,variable,0.0,0.0118742186776,81168.9280372,1.0,onwind,0.015
FR2 onwind,FR,PQ,136428.031355,True,variable,0.0,0.01813157661,106764.280358,1.0,onwind,0.015
FR3 onwind,FR,PQ,136428.031355,True,variable,0.0,120019.500174,120019.509498,1.0,onwind,0.015
FR offwind,FR,PQ,295041.156155,True,variable,0.0,0.0228545168555,52440.7346121,1.0,offwind,0.02
FR solar,FR,PQ,76486.3103324,True,variable,0.0,0.0485814645425,396490.695546,1.0,solar,0.01
FR OCGT,FR,PQ,47234.5614044,True,flexible,0.0,9342.96222702,inf,0.39,OCGT,58.3846153846
FR ror,FR,PQ,0.0,False,variable,14122.7428768,14122.7428768,inf,1.0,ror,0.0
NO0 onwind,NO,Slack,136428.031355,True,variable,0.0,0.00766032058693,44266.8732453,1.0,onwind,0.015
NO1 onwind,NO,PQ,136428.031355,True,variable,0.0,0.014018097839,64706.049073,1.0,onwind,0.015
NO2 onwind,NO,PQ,136428.031355,True,variable,0.0,85672.6763842,85672.7039587,1.0,onwind,0.015
NO offwind,NO,PQ,295041.156155,True,variable,0.0,0.0097222094885,65256.982421,1.0,offwind,0.02
NO solar,NO,PQ,76486.3103324,True,variable,0.0,0.0069759361316,128135.77152,1.0,solar,0.01
NO OCGT,NO,PQ,47234.5614044,True,flexible,0.0,2.54588214857,inf,0.39,OCGT,58.3846153846
NO ror,NO,PQ,0.0,False,variable,2317.99733848,2317.99733848,inf,1.0,ror,0.0
