,capital_cost,p_nom_extendable,p_min_pu,p_nom_opt,bus0,bus1,length
AT-CH,43333.5652469,True,-1.0,343.569920005,AT,CH,455.177091484
AT-CZ,31817.6624539,True,-1.0,676.587015416,AT,CZ,254.488642992
AT-HU,40137.6797005,True,-1.0,3537.77479672,AT,HU,399.482169132
AT-DE,44487.0826114,True,-1.0,24622.2666174,AT,DE,475.279519782
AT-IT,49158.6315261,True,-1.0,11987.0939912,AT,IT,556.690931514
AT-SI,27034.3587622,True,-1.0,3718.85208915,AT,SI,171.129672895
FI-SE,46240.2715426,True,-1.0,7232.16587296,FI,SE,505.83246668
FI-EE,54416.9427827,True,-1.0,1497.59311605,FI,EE,648.327891877
NL-NO,98312.7104933,True,-1.0,23350.1107374,NL,NO,1413.30252526
NL-BE,28455.0305252,True,-1.0,10260.6185406,NL,BE,195.8878197
NL-GB,51192.7428419,True,-1.0,21445.7755008,NL,GB,592.13953258
NL-DE,37410.5084958,True,-1.0,11434.6528442,NL,DE,351.955564602
BA-HR,26012.7762311,True,-1.0,1055.2346706,BA,HR,153.326482224
BA-RS,31016.3755956,True,-1.0,171.79821372,BA,RS,240.524560515
FR-BE,44448.9608391,True,-1.0,2824.06527409,FR,BE,474.615168973
FR-GB,68779.6756611,True,-1.0,41682.4905116,FR,GB,898.628248634
FR-CH,42423.4667019,True,-1.0,1700.59960126,FR,CH,439.316740086
FR-DE,60961.7045602,True,-1.0,21317.290645,FR,DE,762.383916009
FR-IT,67182.4826609,True,-1.0,14701.2766888,FR,IT,870.793853805
FR-ES,65718.8454226,True,-1.0,21144.6188274,FR,ES,845.286944639
NO-SE,29034.123184,True,-1.0,23291.8865314,NO,SE,205.979708223
NO-DK,70842.9045594,True,-1.0,4987.7412645,NO,DK,934.58428386
GB-IE,38181.2478845,True,-1.0,34731.0561284,GB,IE,365.387294176
PL-CZ,39637.453437,True,-1.0,1645.62593568,PL,CZ,390.764690832
PL-DE,53566.1952414,True,-1.0,2353.52680726,PL,DE,633.501854596
PL-SE,86105.764504,True,-1.0,27328.6209586,PL,SE,1200.57121835
PL-SK,39030.3941547,True,-1.0,12668.2073885,PL,SK,380.185425993
PL-LT,43759.1091422,True,-1.0,4816.1495157,PL,LT,462.593074899
BG-GR,41774.1590637,True,-1.0,7126.30827516,BG,GR,428.001210175
BG-RO,36918.6031233,True,-1.0,1557.68175399,BG,RO,343.383095054
BG-RS,39717.4232506,True,-1.0,1797.23342526,BG,RS,392.1583304
GR-IT,71896.8032552,True,-1.0,5337.77944949,GR,IT,952.950650607
PT-ES,39251.1811147,True,-1.0,4160.37975389,PT,ES,384.033095884
CH-DE,46048.7981078,True,-1.0,9232.52843797,CH,DE,502.495645655
CH-IT,48199.8524748,True,-1.0,4263.41917871,CH,IT,539.982221505
HR-HU,35588.4540112,True,-1.0,385.759148612,HR,HU,320.202492859
HR-RS,37926.0952952,True,-1.0,63.9371821775,HR,RS,360.940732044
HR-SI,26650.1055145,True,-1.0,2389.4019547,HR,SI,164.433264503
RO-HU,43085.8915182,True,-1.0,4643.60102218,RO,HU,450.860863982
RO-RS,38754.484173,True,-1.0,0.00753272883859,RO,RS,375.377123322
CZ-DE,39089.1347981,True,-1.0,7269.05282801,CZ,DE,381.209103319
CZ-SK,35778.4481649,True,-1.0,337.420605771,CZ,SK,323.513534347
HU-RS,36987.4639683,True,-1.0,3992.74265002,HU,RS,344.583137848
HU-SK,27074.9019079,True,-1.0,9887.15726894,HU,SK,171.83622115
DE-SE,95253.4627246,True,-1.0,11979.5985253,DE,SE,1359.98879908
DE-DK,49099.8483874,True,-1.0,23298.2913975,DE,DK,555.666513618
DE-LU,36618.2093736,True,-1.0,914.611875799,DE,LU,338.148112036
SE-DK,65626.7519794,True,-1.0,0.108794241129,SE,DK,843.682025722
SE-LT,70455.9203744,True,-1.0,308.867891869,SE,LT,927.84028323
IT-SI,41816.8874204,True,-1.0,209.811462857,IT,SI,428.745840255
EE-LV,29316.9091702,True,-1.0,1859.57307296,EE,LV,210.907839507
LV-LT,27589.4856311,True,-1.0,5273.98603646,LV,LT,180.803907912
